,new_cases
0,1
1,1
2,8
3,3
4,0
5,5
6,13
7,30
8,25
9,59
10,33
11,46
12,101
13,98
14,196
15,151
16,152
17,71
18,69
19,83
20,119
21,145
22,143
23,180
24,134
25,116
26,183
27,230
28,314
29,286
30,366
31,300
32,281
33,416
34,475
35,486
36,554
37,601
38,357
39,340
40,389
41,738
42,655
43,645
