,new_cases
0,4
1,1
2,2
3,2
4,3
5,6
6,15
7,26
8,57
9,48
10,40
11,65
12,91
13,129
14,131
15,114
16,156
17,102
18,113
19,166
20,172
21,150
22,179
23,241
