,new_cases
0,2
1,6
2,1
3,4
4,0
5,19
6,16
7,35
8,34
9,70
10,67
11,19
12,108
13,142
14,197
15,174
16,180
17,126
18,57
19,235
20,214
21,230
22,272
23,260
24,170
25,129
26,172
27,233
28,294
