,new_cases
0,37
1,33
2,41
3,31
4,19
5,50
6,109
7,134
8,168
9,257
10,274
11,169
12,330
13,462
14,601
15,530
16,679
17,467
18,453
19,547
20,884
21,930
22,990
23,1027
24,879
25,560
26,772
27,980
28,983
29,1095
