,new_cases
0,68
1,71
2,57
3,54
4,25
5,82
6,154
7,171
8,234
9,313
10,224
11,181
12,421
13,624
14,551
15,843
16,662
17,525
18,371
19,676
20,632
21,832
22,864
23,906
24,645
25,547
26,655
27,867
28,932
29,955
