NI
3.0
5.0
7.0
7.0
7.0
16.0
27.0
41.0
49.0
60.0
58.0
55.0
118.0
154.0
209.0
234.0
282.0
291.0
280.0
604.0
820.5
1076.0
1243.0
1361.5
1452.0
1401.5
3129.0
3938.0
5045.0
5913.0
6959.5
6860.5
6772.5
14268.0
18639.5
26263.0
27635.0
