HE
2.0
3.0
3.0
3.0
2.0
15.0
17.0
27.0
32.0
48.0
45.0
23.0
117.0
147.5
201.0
214.0
276.5
293.0
197.0
1164.0
1313.5
1747.5
2130.5
2609.0
2475.5
1718.5
9754.5
10524.5
13508.0
16764.5
19677.5
20579.5
12825.0
80179.5
85153.5
113869.0
143330.0
162571.0
156148.0
113457.5
527948.0
574999.0
772563.0
