BW
27.0
33.0
38.0
40.0
29.0
54.0
95.5
136.0
171.0
215.0
228.0
166.0
276.5
412.0
529.0
552.0
644.5
641.5
448.5
717.0
1104.5
1433.5
1573.5
1821.5
1765.0
1227.0
2052.0
3079.0
3944.0
4254.0
4888.5
4860.5
3504.5
5532.0
8589.0
11364.0
11952.0
14052.0
15407.5
10718.5
17221.0
26269.5
36574.5
40695.5
