NW
56.0
64.0
62.0
59.0
40.0
78.0
131.0
167.0
219.0
248.0
258.5
187.0
356.5
546.0
653.0
852.0
945.5
1031.0
726.0
1324.5
2153.5
2722.5
3258.0
3832.0
3951.5
2946.5
5202.5
8107.5
10727.0
12912.5
14848.0
16483.0
11957.0
22690.5
33048.5
44954.0
53673.5
69934.0
74345.5
51530.5
101204.5
162716.0
209166.0
264799.5
