BE
3.0
7.0
7.0
5.0
6.0
19.0
26.0
35.0
41.5
40.0
29.0
27.0
69.5
93.0
117.0
136.0
124.0
93.0
82.0
211.5
286.5
348.0
394.5
365.0
282.0
259.0
686.0
873.0
1097.0
1240.0
1096.0
847.0
801.5
2016.0
2637.0
3372.0
3609.5
