BY
9.0
22.0
28.0
26.0
25.0
64.0
79.0
99.0
122.0
145.0
154.0
136.0
291.5
367.0
477.0
567.0
704.5
673.5
664.0
1545.5
1810.0
2245.5
2784.5
3279.5
3235.5
3157.0
6948.5
8630.5
10376.0
12559.0
14695.5
15827.5
14455.5
33661.0
42282.5
51822.5
58722.0
71995.5
71385.5
68657.5
150639.5
196577.5
224232.5
268260.5
