RP
2.0
2.0
2.0
3.0
4.0
8.0
14.0
22.0
33.0
38.5
40.5
55.0
90.5
120.5
139.0
160.5
206.5
246.5
312.5
517.0
704.0
939.0
1045.0
1242.5
1413.5
1827.0
3055.5
3906.0
5326.5
6304.0
7272.0
8446.0
9634.5
18594.0
23393.5
29405.5
37055.0
44196.0
